,Title,Organization,Skills,Metadata
15,IBM Machine Learning,IBM," Exploratory Data Analysis, Feature Engineering, Unsupervised Learning, Supervised Learning, Generative AI, Regression Analysis, Dimensionality Reduction, Reinforcement Learning, Deep Learning, Data Analysis, Applied Machine Learning, Statistical Inference, Predictive Modeling, Statistical Hypothesis Testing, Data Processing, Statistical Analysis, Machine Learning Algorithms, Machine Learning, Data Science, Python Programming",Intermediate · Professional Certificate · 3 - 6 Months
16,"Python for Data Science, AI & Development",IBM," Jupyter, Python Programming, Data Structures, Web Scraping, Data Manipulation, Programming Principles, Pandas (Python Package), Computer Programming, Object Oriented Programming (OOP), Restful API, NumPy, Application Programming Interface (API), Data Analysis, Data Import/Export, File Management",Beginner · Course · 1 - 3 Months
17,Machine Learning,O.P. Jindal Global University," Tensorflow, Supervised Learning, Scikit Learn (Machine Learning Library), Applied Machine Learning, Python Programming, NumPy, Artificial Neural Networks, Deep Learning, Image Analysis, Matplotlib, Unstructured Data, Predictive Modeling, Machine Learning, Natural Language Processing, Pandas (Python Package), Computer Vision, Feature Engineering, Text Mining, Regression Analysis, Performance Tuning",Beginner · Course · 1 - 3 Months
18,Machine Learning,University of Washington," Regression Analysis, Applied Machine Learning, Feature Engineering, Machine Learning, Image Analysis, Unsupervised Learning, Artificial Intelligence and Machine Learning (AI/ML), Predictive Modeling, Classification And Regression Tree (CART), Supervised Learning, Bayesian Statistics, Statistical Modeling, Artificial Intelligence, Deep Learning, Data Mining, Computer Vision, Statistical Machine Learning, Predictive Analytics, Text Mining, Machine Learning Algorithms",Intermediate · Specialization · 3 - 6 Months
19,Introduction to Artificial Intelligence (AI),IBM," Generative AI, ChatGPT, Natural Language Processing, Data Governance, Computer Science, Business Intelligence, Business Ethics, Robotic Process Automation, Content Creation, Risk Mitigation",Beginner · Course · 1 - 4 Weeks
20,Mathematics for Machine Learning,Imperial College London," Linear Algebra, Dimensionality Reduction, NumPy, Regression Analysis, Calculus, Applied Mathematics, Probability & Statistics, Feature Engineering, Jupyter, Data Science, Advanced Mathematics, Statistics, Machine Learning Algorithms, Statistical Analysis, Artificial Neural Networks, Algorithms, Python Programming, Machine Learning, Derivatives",Beginner · Specialization · 3 - 6 Months
21,Fundamentals of Machine Learning and Artificial Intelligence,Amazon Web Services," Artificial Intelligence and Machine Learning (AI/ML), Generative AI, Deep Learning, Artificial Intelligence, AWS SageMaker, Amazon Web Services, Applied Machine Learning, Machine Learning, Digital Transformation",Mixed · Course · 1 - 4 Weeks
22,Supervised Machine Learning: Regression and Classification ,DeepLearning.AI," Supervised Learning, Jupyter, Scikit Learn (Machine Learning Library), Machine Learning, NumPy, Predictive Modeling, Feature Engineering, Artificial Intelligence, Classification And Regression Tree (CART), Python Programming, Regression Analysis, Unsupervised Learning, Statistical Modeling",Beginner · Course · 1 - 4 Weeks
23,Introduction to Machine Learning,Duke University," PyTorch (Machine Learning Library), Reinforcement Learning, Image Analysis, Applied Machine Learning, Deep Learning, Machine Learning, Natural Language Processing, Supervised Learning, Python Programming, Unsupervised Learning, Artificial Neural Networks, Computer Vision, Medical Imaging",Intermediate · Course · 1 - 3 Months
24,Machine Learning,Multiple educators," Unsupervised Learning, Supervised Learning, Machine Learning Methods, Classification And Regression Tree (CART), Artificial Intelligence and Machine Learning (AI/ML), Applied Machine Learning, Machine Learning Algorithms, Machine Learning, Jupyter, Data Ethics, Decision Tree Learning, Tensorflow, Scikit Learn (Machine Learning Library), Artificial Intelligence, NumPy, Predictive Modeling, Deep Learning, Reinforcement Learning, Random Forest Algorithm, Feature Engineering",Beginner · Specialization · 1 - 3 Months
25,Machine Learning with Python,IBM," Unsupervised Learning, Supervised Learning, Regression Analysis, Scikit Learn (Machine Learning Library), Applied Machine Learning, Predictive Modeling, Machine Learning Algorithms, Machine Learning, Dimensionality Reduction, Python Programming, Statistical Analysis, Classification And Regression Tree (CART), Feature Engineering",Intermediate · Course · 1 - 3 Months
26,Mathematics for Machine Learning and Data Science,DeepLearning.AI," Descriptive Statistics, Bayesian Statistics, Statistical Hypothesis Testing, Probability & Statistics, Sampling (Statistics), Probability Distribution, Linear Algebra, Statistical Inference, A/B Testing, Statistical Analysis, Statistical Machine Learning, Applied Mathematics, NumPy, Probability, Calculus, Dimensionality Reduction, Mathematical Modeling, Machine Learning, Machine Learning Methods, Jupyter",Intermediate · Specialization · 1 - 3 Months
27,IBM Machine Learning,IBM," Exploratory Data Analysis, Feature Engineering, Unsupervised Learning, Supervised Learning, Generative AI, Regression Analysis, Dimensionality Reduction, Reinforcement Learning, Deep Learning, Data Analysis, Applied Machine Learning, Statistical Inference, Predictive Modeling, Statistical Hypothesis Testing, Data Processing, Statistical Analysis, Machine Learning Algorithms, Machine Learning, Data Science, Python Programming",Intermediate · Professional Certificate · 3 - 6 Months
28,"Python for Data Science, AI & Development",IBM," Jupyter, Python Programming, Data Structures, Web Scraping, Data Manipulation, Programming Principles, Pandas (Python Package), Computer Programming, Object Oriented Programming (OOP), Restful API, NumPy, Application Programming Interface (API), Data Analysis, Data Import/Export, File Management",Beginner · Course · 1 - 3 Months
29,Machine Learning,O.P. Jindal Global University," Tensorflow, Supervised Learning, Scikit Learn (Machine Learning Library), Applied Machine Learning, Python Programming, NumPy, Artificial Neural Networks, Deep Learning, Image Analysis, Matplotlib, Unstructured Data, Predictive Modeling, Machine Learning, Natural Language Processing, Pandas (Python Package), Computer Vision, Feature Engineering, Text Mining, Regression Analysis, Performance Tuning",Beginner · Course · 1 - 3 Months
30,Machine Learning,University of Washington," Regression Analysis, Applied Machine Learning, Feature Engineering, Machine Learning, Image Analysis, Unsupervised Learning, Artificial Intelligence and Machine Learning (AI/ML), Predictive Modeling, Classification And Regression Tree (CART), Supervised Learning, Bayesian Statistics, Statistical Modeling, Artificial Intelligence, Deep Learning, Data Mining, Computer Vision, Statistical Machine Learning, Predictive Analytics, Text Mining, Machine Learning Algorithms",Intermediate · Specialization · 3 - 6 Months
31,Introduction to Artificial Intelligence (AI),IBM," Generative AI, ChatGPT, Natural Language Processing, Data Governance, Computer Science, Business Intelligence, Business Ethics, Robotic Process Automation, Content Creation, Risk Mitigation",Beginner · Course · 1 - 4 Weeks
32,Mathematics for Machine Learning,Imperial College London," Linear Algebra, Dimensionality Reduction, NumPy, Regression Analysis, Calculus, Applied Mathematics, Probability & Statistics, Feature Engineering, Jupyter, Data Science, Advanced Mathematics, Statistics, Machine Learning Algorithms, Statistical Analysis, Artificial Neural Networks, Algorithms, Python Programming, Machine Learning, Derivatives",Beginner · Specialization · 3 - 6 Months
33,Fundamentals of Machine Learning and Artificial Intelligence,Amazon Web Services," Artificial Intelligence and Machine Learning (AI/ML), Generative AI, Deep Learning, Artificial Intelligence, AWS SageMaker, Amazon Web Services, Applied Machine Learning, Machine Learning, Digital Transformation",Mixed · Course · 1 - 4 Weeks
34,Supervised Machine Learning: Regression and Classification ,DeepLearning.AI," Supervised Learning, Jupyter, Scikit Learn (Machine Learning Library), Machine Learning, NumPy, Predictive Modeling, Feature Engineering, Artificial Intelligence, Classification And Regression Tree (CART), Python Programming, Regression Analysis, Unsupervised Learning, Statistical Modeling",Beginner · Course · 1 - 4 Weeks
35,Introduction to Machine Learning,Duke University," PyTorch (Machine Learning Library), Reinforcement Learning, Image Analysis, Applied Machine Learning, Deep Learning, Machine Learning, Natural Language Processing, Supervised Learning, Python Programming, Unsupervised Learning, Artificial Neural Networks, Computer Vision, Medical Imaging",Intermediate · Course · 1 - 3 Months
36,Machine Learning,Multiple educators," Unsupervised Learning, Supervised Learning, Machine Learning Methods, Classification And Regression Tree (CART), Artificial Intelligence and Machine Learning (AI/ML), Applied Machine Learning, Machine Learning Algorithms, Machine Learning, Jupyter, Data Ethics, Decision Tree Learning, Tensorflow, Scikit Learn (Machine Learning Library), Artificial Intelligence, NumPy, Predictive Modeling, Deep Learning, Reinforcement Learning, Random Forest Algorithm, Feature Engineering",Beginner · Specialization · 1 - 3 Months
37,Machine Learning with Python,IBM," Unsupervised Learning, Supervised Learning, Regression Analysis, Scikit Learn (Machine Learning Library), Applied Machine Learning, Predictive Modeling, Machine Learning Algorithms, Machine Learning, Dimensionality Reduction, Python Programming, Statistical Analysis, Classification And Regression Tree (CART), Feature Engineering",Intermediate · Course · 1 - 3 Months
38,Mathematics for Machine Learning and Data Science,DeepLearning.AI," Descriptive Statistics, Bayesian Statistics, Statistical Hypothesis Testing, Probability & Statistics, Sampling (Statistics), Probability Distribution, Linear Algebra, Statistical Inference, A/B Testing, Statistical Analysis, Statistical Machine Learning, Applied Mathematics, NumPy, Probability, Calculus, Dimensionality Reduction, Mathematical Modeling, Machine Learning, Machine Learning Methods, Jupyter",Intermediate · Specialization · 1 - 3 Months
39,IBM Machine Learning,IBM," Exploratory Data Analysis, Feature Engineering, Unsupervised Learning, Supervised Learning, Generative AI, Regression Analysis, Dimensionality Reduction, Reinforcement Learning, Deep Learning, Data Analysis, Applied Machine Learning, Statistical Inference, Predictive Modeling, Statistical Hypothesis Testing, Data Processing, Statistical Analysis, Machine Learning Algorithms, Machine Learning, Data Science, Python Programming",Intermediate · Professional Certificate · 3 - 6 Months
40,"Python for Data Science, AI & Development",IBM," Jupyter, Python Programming, Data Structures, Web Scraping, Data Manipulation, Programming Principles, Pandas (Python Package), Computer Programming, Object Oriented Programming (OOP), Restful API, NumPy, Application Programming Interface (API), Data Analysis, Data Import/Export, File Management",Beginner · Course · 1 - 3 Months
41,Machine Learning,O.P. Jindal Global University," Tensorflow, Supervised Learning, Scikit Learn (Machine Learning Library), Applied Machine Learning, Python Programming, NumPy, Artificial Neural Networks, Deep Learning, Image Analysis, Matplotlib, Unstructured Data, Predictive Modeling, Machine Learning, Natural Language Processing, Pandas (Python Package), Computer Vision, Feature Engineering, Text Mining, Regression Analysis, Performance Tuning",Beginner · Course · 1 - 3 Months
42,Machine Learning,University of Washington," Regression Analysis, Applied Machine Learning, Feature Engineering, Machine Learning, Image Analysis, Unsupervised Learning, Artificial Intelligence and Machine Learning (AI/ML), Predictive Modeling, Classification And Regression Tree (CART), Supervised Learning, Bayesian Statistics, Statistical Modeling, Artificial Intelligence, Deep Learning, Data Mining, Computer Vision, Statistical Machine Learning, Predictive Analytics, Text Mining, Machine Learning Algorithms",Intermediate · Specialization · 3 - 6 Months
43,Introduction to Artificial Intelligence (AI),IBM," Generative AI, ChatGPT, Natural Language Processing, Data Governance, Computer Science, Business Intelligence, Business Ethics, Robotic Process Automation, Content Creation, Risk Mitigation",Beginner · Course · 1 - 4 Weeks
44,Mathematics for Machine Learning,Imperial College London," Linear Algebra, Dimensionality Reduction, NumPy, Regression Analysis, Calculus, Applied Mathematics, Probability & Statistics, Feature Engineering, Jupyter, Data Science, Advanced Mathematics, Statistics, Machine Learning Algorithms, Statistical Analysis, Artificial Neural Networks, Algorithms, Python Programming, Machine Learning, Derivatives",Beginner · Specialization · 3 - 6 Months
45,Fundamentals of Machine Learning and Artificial Intelligence,Amazon Web Services," Artificial Intelligence and Machine Learning (AI/ML), Generative AI, Deep Learning, Artificial Intelligence, AWS SageMaker, Amazon Web Services, Applied Machine Learning, Machine Learning, Digital Transformation",Mixed · Course · 1 - 4 Weeks
46,Supervised Machine Learning: Regression and Classification ,DeepLearning.AI," Supervised Learning, Jupyter, Scikit Learn (Machine Learning Library), Machine Learning, NumPy, Predictive Modeling, Feature Engineering, Artificial Intelligence, Classification And Regression Tree (CART), Python Programming, Regression Analysis, Unsupervised Learning, Statistical Modeling",Beginner · Course · 1 - 4 Weeks
47,Introduction to Machine Learning,Duke University," PyTorch (Machine Learning Library), Reinforcement Learning, Image Analysis, Applied Machine Learning, Deep Learning, Machine Learning, Natural Language Processing, Supervised Learning, Python Programming, Unsupervised Learning, Artificial Neural Networks, Computer Vision, Medical Imaging",Intermediate · Course · 1 - 3 Months
48,Machine Learning,Multiple educators," Unsupervised Learning, Supervised Learning, Machine Learning Methods, Classification And Regression Tree (CART), Artificial Intelligence and Machine Learning (AI/ML), Applied Machine Learning, Machine Learning Algorithms, Machine Learning, Jupyter, Data Ethics, Decision Tree Learning, Tensorflow, Scikit Learn (Machine Learning Library), Artificial Intelligence, NumPy, Predictive Modeling, Deep Learning, Reinforcement Learning, Random Forest Algorithm, Feature Engineering",Beginner · Specialization · 1 - 3 Months
49,Machine Learning with Python,IBM," Unsupervised Learning, Supervised Learning, Regression Analysis, Scikit Learn (Machine Learning Library), Applied Machine Learning, Predictive Modeling, Machine Learning Algorithms, Machine Learning, Dimensionality Reduction, Python Programming, Statistical Analysis, Classification And Regression Tree (CART), Feature Engineering",Intermediate · Course · 1 - 3 Months
50,Mathematics for Machine Learning and Data Science,DeepLearning.AI," Descriptive Statistics, Bayesian Statistics, Statistical Hypothesis Testing, Probability & Statistics, Sampling (Statistics), Probability Distribution, Linear Algebra, Statistical Inference, A/B Testing, Statistical Analysis, Statistical Machine Learning, Applied Mathematics, NumPy, Probability, Calculus, Dimensionality Reduction, Mathematical Modeling, Machine Learning, Machine Learning Methods, Jupyter",Intermediate · Specialization · 1 - 3 Months
51,IBM Machine Learning,IBM," Exploratory Data Analysis, Feature Engineering, Unsupervised Learning, Supervised Learning, Generative AI, Regression Analysis, Dimensionality Reduction, Reinforcement Learning, Deep Learning, Data Analysis, Applied Machine Learning, Statistical Inference, Predictive Modeling, Statistical Hypothesis Testing, Data Processing, Statistical Analysis, Machine Learning Algorithms, Machine Learning, Data Science, Python Programming",Intermediate · Professional Certificate · 3 - 6 Months
52,"Python for Data Science, AI & Development",IBM," Jupyter, Python Programming, Data Structures, Web Scraping, Data Manipulation, Programming Principles, Pandas (Python Package), Computer Programming, Object Oriented Programming (OOP), Restful API, NumPy, Application Programming Interface (API), Data Analysis, Data Import/Export, File Management",Beginner · Course · 1 - 3 Months
53,Machine Learning,O.P. Jindal Global University," Tensorflow, Supervised Learning, Scikit Learn (Machine Learning Library), Applied Machine Learning, Python Programming, NumPy, Artificial Neural Networks, Deep Learning, Image Analysis, Matplotlib, Unstructured Data, Predictive Modeling, Machine Learning, Natural Language Processing, Pandas (Python Package), Computer Vision, Feature Engineering, Text Mining, Regression Analysis, Performance Tuning",Beginner · Course · 1 - 3 Months
54,Machine Learning,University of Washington," Regression Analysis, Applied Machine Learning, Feature Engineering, Machine Learning, Image Analysis, Unsupervised Learning, Artificial Intelligence and Machine Learning (AI/ML), Predictive Modeling, Classification And Regression Tree (CART), Supervised Learning, Bayesian Statistics, Statistical Modeling, Artificial Intelligence, Deep Learning, Data Mining, Computer Vision, Statistical Machine Learning, Predictive Analytics, Text Mining, Machine Learning Algorithms",Intermediate · Specialization · 3 - 6 Months
55,Introduction to Artificial Intelligence (AI),IBM," Generative AI, ChatGPT, Natural Language Processing, Data Governance, Computer Science, Business Intelligence, Business Ethics, Robotic Process Automation, Content Creation, Risk Mitigation",Beginner · Course · 1 - 4 Weeks
56,Mathematics for Machine Learning,Imperial College London," Linear Algebra, Dimensionality Reduction, NumPy, Regression Analysis, Calculus, Applied Mathematics, Probability & Statistics, Feature Engineering, Jupyter, Data Science, Advanced Mathematics, Statistics, Machine Learning Algorithms, Statistical Analysis, Artificial Neural Networks, Algorithms, Python Programming, Machine Learning, Derivatives",Beginner · Specialization · 3 - 6 Months
57,Fundamentals of Machine Learning and Artificial Intelligence,Amazon Web Services," Artificial Intelligence and Machine Learning (AI/ML), Generative AI, Deep Learning, Artificial Intelligence, AWS SageMaker, Amazon Web Services, Applied Machine Learning, Machine Learning, Digital Transformation",Mixed · Course · 1 - 4 Weeks
58,Supervised Machine Learning: Regression and Classification ,DeepLearning.AI," Supervised Learning, Jupyter, Scikit Learn (Machine Learning Library), Machine Learning, NumPy, Predictive Modeling, Feature Engineering, Artificial Intelligence, Classification And Regression Tree (CART), Python Programming, Regression Analysis, Unsupervised Learning, Statistical Modeling",Beginner · Course · 1 - 4 Weeks
59,Introduction to Machine Learning,Duke University," PyTorch (Machine Learning Library), Reinforcement Learning, Image Analysis, Applied Machine Learning, Deep Learning, Machine Learning, Natural Language Processing, Supervised Learning, Python Programming, Unsupervised Learning, Artificial Neural Networks, Computer Vision, Medical Imaging",Intermediate · Course · 1 - 3 Months
60,Machine Learning,Multiple educators," Unsupervised Learning, Supervised Learning, Machine Learning Methods, Classification And Regression Tree (CART), Artificial Intelligence and Machine Learning (AI/ML), Applied Machine Learning, Machine Learning Algorithms, Machine Learning, Jupyter, Data Ethics, Decision Tree Learning, Tensorflow, Scikit Learn (Machine Learning Library), Artificial Intelligence, NumPy, Predictive Modeling, Deep Learning, Reinforcement Learning, Random Forest Algorithm, Feature Engineering",Beginner · Specialization · 1 - 3 Months
61,Machine Learning with Python,IBM," Unsupervised Learning, Supervised Learning, Regression Analysis, Scikit Learn (Machine Learning Library), Applied Machine Learning, Predictive Modeling, Machine Learning Algorithms, Machine Learning, Dimensionality Reduction, Python Programming, Statistical Analysis, Classification And Regression Tree (CART), Feature Engineering",Intermediate · Course · 1 - 3 Months
62,Mathematics for Machine Learning and Data Science,DeepLearning.AI," Descriptive Statistics, Bayesian Statistics, Statistical Hypothesis Testing, Probability & Statistics, Sampling (Statistics), Probability Distribution, Linear Algebra, Statistical Inference, A/B Testing, Statistical Analysis, Statistical Machine Learning, Applied Mathematics, NumPy, Probability, Calculus, Dimensionality Reduction, Mathematical Modeling, Machine Learning, Machine Learning Methods, Jupyter",Intermediate · Specialization · 1 - 3 Months
63,IBM Machine Learning,IBM," Exploratory Data Analysis, Feature Engineering, Unsupervised Learning, Supervised Learning, Generative AI, Regression Analysis, Dimensionality Reduction, Reinforcement Learning, Deep Learning, Data Analysis, Applied Machine Learning, Statistical Inference, Predictive Modeling, Statistical Hypothesis Testing, Data Processing, Statistical Analysis, Machine Learning Algorithms, Machine Learning, Data Science, Python Programming",Intermediate · Professional Certificate · 3 - 6 Months
64,"Python for Data Science, AI & Development",IBM," Jupyter, Python Programming, Data Structures, Web Scraping, Data Manipulation, Programming Principles, Pandas (Python Package), Computer Programming, Object Oriented Programming (OOP), Restful API, NumPy, Application Programming Interface (API), Data Analysis, Data Import/Export, File Management",Beginner · Course · 1 - 3 Months
65,Machine Learning,O.P. Jindal Global University," Tensorflow, Supervised Learning, Scikit Learn (Machine Learning Library), Applied Machine Learning, Python Programming, NumPy, Artificial Neural Networks, Deep Learning, Image Analysis, Matplotlib, Unstructured Data, Predictive Modeling, Machine Learning, Natural Language Processing, Pandas (Python Package), Computer Vision, Feature Engineering, Text Mining, Regression Analysis, Performance Tuning",Beginner · Course · 1 - 3 Months
66,Machine Learning,University of Washington," Regression Analysis, Applied Machine Learning, Feature Engineering, Machine Learning, Image Analysis, Unsupervised Learning, Artificial Intelligence and Machine Learning (AI/ML), Predictive Modeling, Classification And Regression Tree (CART), Supervised Learning, Bayesian Statistics, Statistical Modeling, Artificial Intelligence, Deep Learning, Data Mining, Computer Vision, Statistical Machine Learning, Predictive Analytics, Text Mining, Machine Learning Algorithms",Intermediate · Specialization · 3 - 6 Months
67,Introduction to Artificial Intelligence (AI),IBM," Generative AI, ChatGPT, Natural Language Processing, Data Governance, Computer Science, Business Intelligence, Business Ethics, Robotic Process Automation, Content Creation, Risk Mitigation",Beginner · Course · 1 - 4 Weeks
68,Mathematics for Machine Learning,Imperial College London," Linear Algebra, Dimensionality Reduction, NumPy, Regression Analysis, Calculus, Applied Mathematics, Probability & Statistics, Feature Engineering, Jupyter, Data Science, Advanced Mathematics, Statistics, Machine Learning Algorithms, Statistical Analysis, Artificial Neural Networks, Algorithms, Python Programming, Machine Learning, Derivatives",Beginner · Specialization · 3 - 6 Months
69,Fundamentals of Machine Learning and Artificial Intelligence,Amazon Web Services," Artificial Intelligence and Machine Learning (AI/ML), Generative AI, Deep Learning, Artificial Intelligence, AWS SageMaker, Amazon Web Services, Applied Machine Learning, Machine Learning, Digital Transformation",Mixed · Course · 1 - 4 Weeks
70,Supervised Machine Learning: Regression and Classification ,DeepLearning.AI," Supervised Learning, Jupyter, Scikit Learn (Machine Learning Library), Machine Learning, NumPy, Predictive Modeling, Feature Engineering, Artificial Intelligence, Classification And Regression Tree (CART), Python Programming, Regression Analysis, Unsupervised Learning, Statistical Modeling",Beginner · Course · 1 - 4 Weeks
71,Introduction to Machine Learning,Duke University," PyTorch (Machine Learning Library), Reinforcement Learning, Image Analysis, Applied Machine Learning, Deep Learning, Machine Learning, Natural Language Processing, Supervised Learning, Python Programming, Unsupervised Learning, Artificial Neural Networks, Computer Vision, Medical Imaging",Intermediate · Course · 1 - 3 Months
72,Machine Learning,Multiple educators," Unsupervised Learning, Supervised Learning, Machine Learning Methods, Classification And Regression Tree (CART), Artificial Intelligence and Machine Learning (AI/ML), Applied Machine Learning, Machine Learning Algorithms, Machine Learning, Jupyter, Data Ethics, Decision Tree Learning, Tensorflow, Scikit Learn (Machine Learning Library), Artificial Intelligence, NumPy, Predictive Modeling, Deep Learning, Reinforcement Learning, Random Forest Algorithm, Feature Engineering",Beginner · Specialization · 1 - 3 Months
73,Machine Learning with Python,IBM," Unsupervised Learning, Supervised Learning, Regression Analysis, Scikit Learn (Machine Learning Library), Applied Machine Learning, Predictive Modeling, Machine Learning Algorithms, Machine Learning, Dimensionality Reduction, Python Programming, Statistical Analysis, Classification And Regression Tree (CART), Feature Engineering",Intermediate · Course · 1 - 3 Months
74,Mathematics for Machine Learning and Data Science,DeepLearning.AI," Descriptive Statistics, Bayesian Statistics, Statistical Hypothesis Testing, Probability & Statistics, Sampling (Statistics), Probability Distribution, Linear Algebra, Statistical Inference, A/B Testing, Statistical Analysis, Statistical Machine Learning, Applied Mathematics, NumPy, Probability, Calculus, Dimensionality Reduction, Mathematical Modeling, Machine Learning, Machine Learning Methods, Jupyter",Intermediate · Specialization · 1 - 3 Months
